Year,County,Waterbody,Town,Month,Number,Species,Size (Inches)
2018,Albany,Basic Creek,Westerlo,April,440,Brown Trout,7.9
2018,Albany,Catskill Creek,Rensselaerville,April,740,Brown Trout,9.2
2018,Albany,Catskill Creek,Rensselaerville,May,170,Brown Trout,9.2
2018,Albany,Hannacrois Creek,Coeymans,April,1040,Brown Trout,7.9
2018,Albany,Hannacrois Creek,Coeymans,April,700,Brown Trout,7.9
2018,Albany,Hannacrois Creek,Coeymans,April,130,Brown Trout,12.4
2018,Albany,Lisha Kill,Colonie,April,350,Brown Trout,8.5
2018,Albany,Onesquethaw Creek,New Scotland,April,1130,Brown Trout,7.9
2018,Albany,Onesquethaw Creek,New Scotland,April,100,Brown Trout,12.4
2018,Albany,Six Mile Waterworks,City of Albany,April,870,Rainbow Trout,0
2018,Albany,Six Mile Waterworks,City of Albany,April,870,Rainbow Trout,9.1
2018,Albany,Six Mile Waterworks,City of Albany,May,870,Rainbow Trout,9.2
2018,Albany,Thompsons Lake,Berne,May,520,Brown Trout,8.9
2018,Albany,Thompsons Lake,Berne,April,1740,Rainbow Trout,9.4
2018,Albany,Vly Creek,New Scotland,April,260,Brown Trout,7.8
2018,Allegany,Allen Lake,Allen,April,2800,Brook Trout,8.9
2018,Allegany,Allen Lake,Allen,May,2800,Brook Trout,10.4
2018,Allegany,Allen Lake,,October,150,Brook Trout,14.1
2018,Allegany,Allen Lake,Allen,April,500,Brown Trout,13.2
2018,Allegany,Allen Lake,,October,50,Rainbow Trout,27.5
2018,Allegany,Belmont Rod and Gun Club Pond,West Almond,April,100,Brook Trout,9
2018,Allegany,Black Creek,West Almond,April,1220,Brown Trout,9
2018,Allegany,California Hw Brook,Bolivar,April,440,Brown Trout,9
2018,Allegany,California Hw Brook,Bolivar,May,260,Brown Trout,8.9
2018,Allegany,Canacadea Creek,"Almond, Alfred",April,1090,Brown Trout,9
2018,Allegany,Canaseraga Creek,Burns,April,1650,Brown Trout,9
2018,Allegany,Canaseraga Creek,Burns,April,200,Brown Trout,13.5
2018,Allegany,Caneadea Creek,Rushford,April,1130,Brown Trout,9
2018,Allegany,Chenunda Creek,Willing,April,260,Brown Trout,9
2018,Allegany,Clarksville Town Pond,Clarksville,March,200,Brook Trout,9
2018,Allegany,Cryder Creek,Independence,April,1300,Brown Trout,9
2018,Allegany,Cryder Creek,Independence,April,200,Brown Trout,13.5
2018,Allegany,Cryder Creek,Independence,May,1300,Brown Trout,8.9
2018,Allegany,Dodge Creek,Clarksville,March,2200,Brook Trout,8.9
2018,Allegany,Dodge Creek,Clarksville,March,200,Brown Trout,12.9
2018,Allegany,Dodge Creek,Clarksville,May,1300,Brown Trout,9
2018,Allegany,"Dodge Creek, T17",Clarksville,March,350,Brook Trout,9
2018,Allegany,Dyke Creek,Andover,April,1480,Brown Trout,9
2018,Allegany,Dyke Creek,Andover,April,200,Brown Trout,13.5
2018,Allegany,Dyke Creek,Andover,May,1040,Brown Trout,8.9
2018,Allegany,Genesee River,Wellsville,April,650,Brown Trout,9
2018,Allegany,Genesee River,Amity,April,3180,Brown Trout,9
2018,Allegany,Genesee River,Wellsville,April,1300,Brown Trout,9
2018,Allegany,Genesee River,Wellsville,April,450,Brown Trout,13.5
2018,Allegany,Genesee River,Amity,April,350,Brown Trout,13.5
2018,Allegany,Genesee River,Amity,March,5520,Brown Trout,8.9
2018,Allegany,Genesee River,Wellsville,March,2180,Brown Trout,8.9
2018,Allegany,Genesee River,Wellsville,March,750,Brown Trout,12.9
2018,Allegany,Genesee River,Amity,March,750,Brown Trout,12.9
2018,Allegany,Genesee River,Wellsville,May,1130,Brown Trout,9
2018,Allegany,Genesee River,,May,600,Brown Trout,13.7
2018,Allegany,Genesee River,,October,300,Brown Trout,13.6
2018,Allegany,Genesee River,Wellsville,April,870,Rainbow Trout,9.3
2018,Allegany,Genesee River,Wellsville,March,2480,Rainbow Trout,8.7
2018,Allegany,Genesee River,,October,150,Rainbow Trout,14.1
2018,Allegany,Genesee River,,October,175,Rainbow Trout,21.3
2018,Allegany,Genesee River,,October,80,Rainbow Trout,27.5
2018,Allegany,Hunt Creek,Alma,April,220,Brown Trout,9
2018,Allegany,Little Genesee Creek,Bolivar,March,2200,Brook Trout,8.9
2018,Allegany,Little Genesee Creek,Bolivar,March,200,Brown Trout,12.9
2018,Allegany,Little Genesee Creek,Bolivar,May,1300,Brown Trout,8.9
2018,Allegany,Root Creek,Bolivar,April,870,Brown Trout,9
2018,Allegany,Rushford Camp Pond,New Hudson,May,100,Brook Trout,10.4
2018,Allegany,Rushford Camp Pond,New Hudson,May,100,Brook Trout,10.4
2018,Allegany,Rushford Lake,Caneadea,May,1570,Brown Trout,9
2018,Allegany,Rushford Lake,Caneadea,May,1570,Brown Trout,9.2
2018,Allegany,Rushford Lake,Caneadea,April,3310,Rainbow Trout,9.3
2018,Allegany,Vandermark Creek,"Scio, Ward",April,1040,Brown Trout,9
2018,Broome,Arctic Lake,Sanford,April,2170,Rainbow Trout,9.3
2018,Broome,Chenango Lake,Fenton,April,2610,Rainbow Trout,9.3
2018,Broome,Chenango Lake,Fenton,March,4440,Rainbow Trout,9
2018,Broome,Chenango Lake,Fenton,May,2610,Rainbow Trout,9.7
2018,Broome,Dudley Creek,Lisle,March,390,Brown Trout,8.7
2018,Broome,East Branch Nanticoke Creek,Maine,April,50,Brown Trout,13.2
2018,Broome,East Branch Nanticoke Creek,Maine,March,260,Brown Trout,8.7
2018,Broome,East Branch Nanticoke Creek,Maine,May,40,Brown Trout,9.4
2018,Broome,Finch Hollow Site 1 (Overbrook,Union,April,870,Rainbow Trout,9.3
2018,Broome,Greenwood Lake,Nanticoke,April,1740,Rainbow Trout,9.2
2018,Broome,Little Choconut 2e,Chenango,April,170,Rainbow Trout,9.3
2018,Broome,Nanticoke 7a,Maine,April,520,Rainbow Trout,9.3
2018,Broome,Nanticoke Creek,Union,April,290,Brown Trout,13.2
2018,Broome,Nanticoke Creek,Maine,April,260,Brown Trout,13.2
2018,Broome,Nanticoke Creek,Maine,March,1040,Brown Trout,8.7
2018,Broome,Nanticoke Creek,Union,March,1480,Brown Trout,8.7
2018,Broome,Nanticoke Creek,Maine,May,170,Brown Trout,9.4
2018,Broome,Nanticoke Creek,Union,May,170,Brown Trout,9.4
2018,Broome,Nanticoke Lake,Lisle,April,2000,Rainbow Trout,9.2
2018,Broome,Oquaga Creek,Sanford,April,740,Brown Trout,8.9
2018,Broome,Oquaga Creek,Sanford,April,1390,Brown Trout,8.9
2018,Broome,Oquaga Creek,Sanford,April,1390,Brown Trout,8.9
2018,Broome,Oquaga Creek,Sanford,April,170,Brown Trout,12.8
2018,Broome,Oquaga Creek,Sanford,April,80,Brown Trout,12.8
2018,Broome,Oquaga Creek,Sanford,April,170,Brown Trout,12.8
2018,Broome,Palmers Pond,Sanford,April,170,Rainbow Trout,9.3
2018,Broome,Patterson Pond (#1),Union,April,700,Rainbow Trout,9.3
2018,Cattaraugus,Allegheny Reservoir,Coldspring,April,180000,Sauger,0.4
2018,Cattaraugus,Allegheny Reservoir,Coldspring,June,1100,Sauger,1.8
2018,Cattaraugus,Allegheny Reservoir,Coldspring,May,70000,Sauger,0.4
2018,Cattaraugus,Allegheny River,Allegany,May,219300,Muskellunge,0.6
2018,Cattaraugus,Allegheny River,Portville,May,237700,Muskellunge,0.6
2018,Cattaraugus,Allegheny River,Allegany,April,180000,Sauger,0.4
2018,Cattaraugus,Bay State Brook,Red House,March,480,Brown Trout,9
2018,Cattaraugus,Beaver Meadow Creek,Ellicottville,March,350,Brown Trout,8.7
2018,Cattaraugus,Birch Run Pond #1,Allegany,April,200,Brook Trout,9.2
2018,Cattaraugus,Bone Run,South Valley,April,260,Brown Trout,9
2018,Cattaraugus,Bone Run,South Valley,March,260,Brown Trout,8.7
2018,Cattaraugus,Case Lake,Franklinville,April,1800,Brook Trout,9.2
2018,Cattaraugus,Case Lake,,October,50,Brook Trout,20.3
2018,Cattaraugus,Case Lake,Franklinville,April,1570,Brown Trout,9.2
2018,Cattaraugus,Case Lake,Franklinville,April,600,Brown Trout,13.2
2018,Cattaraugus,Case Lake,,October,150,Brown Trout,13.6
2018,Cattaraugus,Case Lake,,October,25,Brown Trout,20.7
2018,Cattaraugus,Case Lake,,October,55,Brown Trout,21.8
2018,Cattaraugus,Case Lake,,October,25,Rainbow Trout,27.5
2018,Cattaraugus,Cattaraugus Creek S Br,East Otto,March,1040,Brown Trout,8.9
2018,Cattaraugus,Connoisarauley Creek,Ashford,March,400,Brook Trout,8.9
2018,Cattaraugus,County Pond A,Randolph,April,100,Brook Trout,9.2
2018,Cattaraugus,County Pond A,Randolph,March,100,Brook Trout,9
2018,Cattaraugus,County Pond B,Randolph,April,100,Brook Trout,9.2
2018,Cattaraugus,County Pond B,Randolph,March,100,Brook Trout,9
2018,Cattaraugus,Crandall Pond,Ashford,April,300,Brook Trout,9
2018,Cattaraugus,Elton Creek,Freedom,April,1130,Brown Trout,9
2018,Cattaraugus,Elton Creek,Freedom,April,170,Brown Trout,9
2018,Cattaraugus,Elton Creek,Freedom,April,200,Brown Trout,13.5
2018,Cattaraugus,Elton Creek,Freedom,May,870,Brown Trout,8.9
2018,Cattaraugus,Five Mile Creek,Allegany,April,2520,Brown Trout,8.5
2018,Cattaraugus,Forks Creek,Great Valley,March,1390,Brown Trout,8.9
2018,Cattaraugus,Forks Creek,Great Valley,May,780,Brown Trout,9
2018,Cattaraugus,Franklinville Retention Pond,Franklinville,April,400,Brook Trout,9.2
2018,Cattaraugus,Great Valley Creek,Ellicottville,March,390,Brown Trout,8.7
2018,Cattaraugus,Great Valley Creek,Great Valley,March,2350,Brown Trout,8.9
2018,Cattaraugus,Great Valley Creek,Great Valley,May,1220,Brown Trout,9
2018,Cattaraugus,Guernsey Run,South Valley,March,170,Brown Trout,8.7
2018,Cattaraugus,Harwood Lake,Farmersville,April,2100,Brook Trout,9.2
2018,Cattaraugus,Harwood Lake,Farmersville,May,2500,Brook Trout,10.4
2018,Cattaraugus,Harwood Lake,,October,50,Brook Trout,13.6
2018,Cattaraugus,Harwood Lake,Farmersville,April,350,Brown Trout,13.2
2018,Cattaraugus,Harwood Lake,,October,150,Brown Trout,13.6
2018,Cattaraugus,Harwood Lake,,October,150,Brown Trout,13.6
2018,Cattaraugus,Harwood Lake,,October,50,Brown Trout,24
2018,Cattaraugus,Harwood Lake,,October,100,Rainbow Trout,14.1
2018,Cattaraugus,Haskell Creek,Hinsdale,April,700,Brook Trout,9.2
2018,Cattaraugus,Ischua Creek,Franklinville,April,1600,Brook Trout,9.2
2018,Cattaraugus,Ischua Creek,Franklinville,April,1730,Brook Trout,9.2
2018,Cattaraugus,Ischua Creek,Franklinville,April,520,Brown Trout,8.9
2018,Cattaraugus,Ischua Creek,Franklinville,April,700,Brown Trout,9
2018,Cattaraugus,Ischua Creek,Franklinville,April,1390,Brown Trout,9
2018,Cattaraugus,Ischua Creek,Franklinville,April,1500,Brown Trout,9
2018,Cattaraugus,Ischua Creek,Franklinville,April,550,Brown Trout,13.5
2018,Cattaraugus,Ischua Creek,Franklinville,April,950,Brown Trout,13.5
2018,Cattaraugus,Lake Flavia,Dayton,April,2000,Brook Trout,9.2
2018,Cattaraugus,Lime Lake,Machias,September,800,Tiger Muskellunge,9.5
2018,Cattaraugus,Little Conewango Creek,Conewango,April,780,Brown Trout,9
2018,Cattaraugus,Little Conewango Creek,Conewango,March,1520,Brown Trout,9
2018,Cattaraugus,Little Conewango Creek,Conewango,March,200,Brown Trout,12.9
2018,Cattaraugus,Mansfield Creek,Mansfield,March,440,Brown Trout,8.9
2018,Cattaraugus,Mansfield Creek,Mansfield,March,100,Brown Trout,12.9
2018,Cattaraugus,Maples Club Pond,Otto,April,300,Brook Trout,9
2018,Cattaraugus,New Albion Lake,New Albion,April,2800,Brook Trout,9.2
2018,Cattaraugus,New Albion Lake,New Albion,April,2440,Brown Trout,9.1
2018,Cattaraugus,New Albion Lake,New Albion,April,300,Brown Trout,13.5
2018,Cattaraugus,New Albion Lake,,October,150,Brown Trout,13.6
2018,Cattaraugus,New Albion Lake,,October,75,Rainbow Trout,21.8
2018,Cattaraugus,New Albion LAke,,October,25,Brown Trout,24
2018,Cattaraugus,North Branch Sawmill Run,South Valley,March,130,Brown Trout,8.7
2018,Cattaraugus,Olean Creek,Olean (Town),April,170,Brown Trout,9
2018,Cattaraugus,Olean Creek,Hinsdale,May,50000,Sauger,0.4
2018,Cattaraugus,Paisley Park Pond,Randolph,April,50,Brook Trout,9.2
2018,Cattaraugus,Paisley Park Pond,Randolph,March,50,Brook Trout,9
2018,Cattaraugus,Perrysburg Conservation Club P,Dayton,April,100,Brook Trout,9.2
2018,Cattaraugus,Quaker Lake,Elko,April,3650,Brown Trout,8.9
2018,Cattaraugus,Quaker Lake,Elko,April,3650,Brown Trout,9.1
2018,Cattaraugus,Quaker Lake,Elko,April,400,Brown Trout,13.5
2018,Cattaraugus,Quaker Lake,,October,300,Brown Trout,13.6
2018,Cattaraugus,Quaker Lake,,October,50,Brown Trout,24
2018,Cattaraugus,Quaker Lake,,October,100,Rainbow Trout,22.5
2018,Cattaraugus,Quaker Lake,,October,25,Rainbow Trout,27.5
2018,Cattaraugus,Quaker Run,Cold Spring,April,800,Brown Trout,9
2018,Cattaraugus,Quaker Run,Cold Spring,April,100,Brown Trout,13.5
2018,Cattaraugus,Quaker Run,Cold Spring,March,1550,Brown Trout,9
2018,Cattaraugus,Quaker Run,Cold Spring,May,800,Brown Trout,9.9
2018,Cattaraugus,"Red House Bk, T17",Red House,April,610,Brown Trout,8.9
2018,Cattaraugus,Red House Brook,Red House,April,960,Brown Trout,8.9
2018,Cattaraugus,Red House Brook,Red House,April,520,Brown Trout,9
2018,Cattaraugus,Red House Brook,Red House,March,1040,Brown Trout,9
2018,Cattaraugus,Red House Brook,Red House,May,1040,Brown Trout,9.9
2018,Cattaraugus,Red House Lake,Red House,May,1220,Brown Trout,9
2018,Cattaraugus,Red House Lake,Red House,May,650,Brown Trout,9
2018,Cattaraugus,Red House Lake,,October,100,Brown Trout,13.6
2018,Cattaraugus,Red House Lake,,October,5,Brown Trout,24
2018,Cattaraugus,Red House Lake,,October,100,Rainbow Trout,21.8
2018,Cattaraugus,Red House Lake,,October,50,Rainbow Trout,27.5
2018,Cattaraugus,Rice Brook,Carrollton,April,260,Brown Trout,9
2018,Cattaraugus,Science Lake,Red House,April,220,Brown Trout,8.9
2018,Cattaraugus,Science Lake,Red House,March,220,Brown Trout,9
2018,Cattaraugus,Wrights Creek,Humphrey,March,740,Brown Trout,8.9
2018,Cayuga,Cayuga Lake,Ledyard,May,8700,Brown Trout,9.1
2018,Cayuga,Cayuga Lake,Ledyard,May,15000,Landlocked Salmon,7.3
2018,Cayuga,Duck Lake,Conquest,September,1100,Tiger Muskellunge,9.5
2018,Cayuga,Dutch Hollow Brook,Owasco,November,10000,Rainbow Trout,3.8
2018,Cayuga,Dutch Hollow Brook,Owasco,November,5700,Rainbow Trout,3.8
2018,Cayuga,Fall Creek,Summer Hill,April,1500,Brook Trout,8.4
2018,Cayuga,Fall Creek,Summer Hill,May,1000,Brook Trout,8.7
2018,Cayuga,Lake Ontario,Sterling,May,31320,Brown Trout,7.5
2018,Cayuga,Little Sodus Bay,Sterling,May,47500,Chinook,3.4
2018,Cayuga,Little Sodus Bay,Sterling,May,6000,Steelhead,6.2
2018,Cayuga,North Brook,Brutus,April,1390,Brown Trout,8.9
2018,Cayuga,Owasco Inlet,Locke,April,2700,Brown Trout,9
2018,Cayuga,Owasco Inlet,Locke,April,400,Brown Trout,13.5
2018,Cayuga,Owasco Inlet,Locke,November,15000,Rainbow Trout,3.8
2018,Cayuga,Owasco Inlet,Locke,November,5700,Rainbow Trout,3.8
2018,Cayuga,Owasco Lake,Scipio,May,3820,Brown Trout,9
2018,Cayuga,Owasco Lake,Scipio,May,4880,Brown Trout,9.4
2018,Cayuga,Owasco Lake,Scipio,October,10500,Lake Trout,6
2018,Cayuga,Owasco Lake,Scipio,May,4500,Rainbow Trout,6.1
2018,Cayuga,Owasco Outlet,Auburn,May,870,Rainbow Trout,9.7
2018,Cayuga,Salmon Creek,Genoa,April,1740,Brown Trout,9
2018,Cayuga,Salmon Creek,Genoa,April,150,Brown Trout,13.1
2018,Cayuga,Seneca River,Mentz,September,3483,Tiger Muskellunge,9.5
2018,Cayuga,Seneca River,Mentz,June,24000,Walleye,1.6
2018,Cayuga,Sterling Creek,Sterling,May,15930,Chinook,3.3
2018,Cayuga,Sterling Creek,Sterling,April,4600,Steelhead,4.7
2018,Cayuga,Sterling Valley Creek,Sterling,April,4600,Steelhead,4.7
2018,Chautauqua,Bear Lake,Pomfret,October,550,Muskellunge,8.4
2018,Chautauqua,Bear Lake Outlet,Stockton,May,780,Brown Trout,9
2018,Chautauqua,Canadaway Creek,Arkwright,April,250,Brook Trout,9.2
2018,Chautauqua,Canadaway Creek,Arkwright,April,50,Brown Trout,13.5
2018,Chautauqua,Canadaway Creek,Dunkirk,October,10000,Rainbow Trout,6.3
2018,Chautauqua,Canadaway Creek,Dunkirk,October,1200,Rainbow Trout,6.3
2018,Chautauqua,Canadaway Creek,Dunkirk,April,20000,Steelhead,5.1
2018,Chautauqua,Cassadaga Creek,Stockton,April,260,Brown Trout,9
2018,Chautauqua,Cassadaga Creek,Stockton,April,200,Brown Trout,13.5
2018,Chautauqua,Cassadaga Creek,Stockton,May,440,Brown Trout,9
2018,Chautauqua,Cattaraugus Creek,Hanover,October,15000,Rainbow Trout,6.3
2018,Chautauqua,Cattaraugus Creek,Hanover,October,1200,Rainbow Trout,6.3
2018,Chautauqua,Cattaraugus Creek,Hanover,April,90000,Steelhead,4.9
2018,Chautauqua,Chautauqua Creek,Westfield,October,10000,Rainbow Trout,6.3
2018,Chautauqua,Chautauqua Creek,Westfield,October,1200,Rainbow Trout,6.3
2018,Chautauqua,Chautauqua Creek,Westfield,April,50000,Steelhead,5
2018,Chautauqua,Chautauqua Hatchery,Mayville,May,300000,Walleye,0.3
2018,Chautauqua,CHAUTAUQUA LAKE (N),CHAUTAUQUA,October,4062,Muskellunge,8.3
2018,Chautauqua,CHAUTAUQUA LAKE (N),ELLERY,October,4695,Muskellunge,9.1
2018,Chautauqua,CHAUTAUQUA LAKE (S),BUSTI,October,4243,Muskellunge,8.7
2018,Chautauqua,Clay Pond,Poland,April,300,Brook Trout,9.2
2018,Chautauqua,Clay Pond,Poland,April,100,Brown Trout,13.5
2018,Chautauqua,Conewango Ck W Br,Villenova,April,570,Brown Trout,9
2018,Chautauqua,Goose Creek,"N Harmony, Harmony",March,1050,Brook Trout,8.9
2018,Chautauqua,Goose Creek,"N Harmony, Harmony",March,910,Brown Trout,8.7
2018,Chautauqua,Goose Creek,"N Harmony, Harmony",March,300,Brown Trout,12.9
2018,Chautauqua,Goose Creek,"N Harmony, Harmony",May,440,Brown Trout,9
2018,Chautauqua,Goose Creek,"N Harmony, Harmony",May,100,Brown Trout,13.5
2018,Chautauqua,Lakewood Rod and Gun Channel,Busti,May,500,Panfish,10.8
2018,Chautauqua,Lower Cassadaga Lake,Stockton,October,500,Muskellunge,8.4
2018,Chautauqua,Middle Cassadaga Lake,Stockton,October,150,Muskellunge,8.4
2018,Chautauqua,Mill Creek,Gerry,April,800,Brook Trout,9
2018,Chautauqua,Mill Creek,Gerry,April,100,Brown Trout,13.5
2018,Chautauqua,Silver Creek,Hanover,April,10000,Steelhead,5.1
2018,Chautauqua,Upper Cassadaga Lake,Pomfret,October,500,Muskellunge,8.4
2018,Chautauqua,Walnut Creek,Hanover,April,10000,Steelhead,5.1
2018,Chemung,Cayuta Creek,Van Etten,April,4700,Brown Trout,8.7
2018,Chemung,Cayuta Creek,Van Etten,April,3040,Brown Trout,9.1
2018,Chemung,Cayuta Creek,Van Etten,April,770,Brown Trout,12.9
2018,Chemung,Cayuta Creek,Van Etten,April,780,Brown Trout,12.9
2018,Chemung,Cayuta Creek,Van Etten,May,200,Brown Trout,13.7
2018,Chemung,Eldridge Lake,Elmira,April,150,Brown Trout,13.2
2018,Chemung,Eldridge Lake,Elmira,April,870,Rainbow Trout,9
2018,Chemung,Eldridge Lake,Elmira,April,430,Rainbow Trout,9.5
2018,Chemung,Eldridge Lake,Elmira,April,20,Rainbow Trout,16.6
2018,Chemung,Newtown Creek,Horseheads,March,870,Brown Trout,8.4
2018,Chemung,Newtown Creek,Horseheads,March,80,Brown Trout,12.3
2018,Chemung,Park Station Pond,Erin,October,25,Brook Trout,12.8
2018,Chemung,Park Station Pond,Erin,April,450,Brown Trout,13.2
2018,Chemung,Park Station Pond,Erin,April,1600,Rainbow Trout,9
2018,Chemung,Post Creek,Catlin,April,780,Brown Trout,8.9
2018,Chemung,Post Creek,Catlin,March,700,Brown Trout,8.4
2018,Chemung,Post Creek,Catlin,March,250,Brown Trout,12.3
2018,Chemung,Sing Sing Creek,Big Flats,April,40,Brown Trout,8.9
2018,Chemung,Sing Sing Creek,Big Flats,April,170,Brown Trout,8.9
2018,Chemung,Sing Sing Creek,Big Flats,March,780,Brown Trout,8.4
2018,Chemung,Sing Sing Creek,Big Flats,March,170,Brown Trout,8.4
2018,Chemung,Sing Sing Creek,Big Flats,March,100,Brown Trout,12.3
2018,Chemung,Sing Sing Creek,Big Flats,March,50,Brown Trout,12.3
2018,Chemung,Wyncoop Creek,Baldwin,April,350,Brown Trout,8.7
2018,Chenango,Bear Brook,Oxford,October,1100,Brown Trout,6.3
2018,Chenango,Bowman Lake,Mcdonough,May,700,Brook Trout,8.3
2018,Chenango,Bowman Lake,Mcdonough,May,1390,Rainbow Trout,8.3
2018,Chenango,Chenango Lake,New Berlin,September,700,Tiger Muskellunge,9.5
2018,Chenango,Genegantslet Creek,Greene,April,1830,Brown Trout,7.9
2018,Chenango,Genegantslet Creek,Smithville,April,130,Brown Trout,7.9
2018,Chenango,Genegantslet Creek,Smithville,April,960,Brown Trout,8
2018,Chenango,Genegantslet Creek,Greene,April,610,Brown Trout,8
2018,Chenango,Genegantslet Creek,Mcdonough,April,390,Brown Trout,8
2018,Chenango,Genegantslet Creek,Smithville,April,480,Brown Trout,8
2018,Chenango,Genegantslet Creek,Smithville,April,170,Brown Trout,11.9
2018,Chenango,Genegantslet Creek,Mcdonough,April,70,Brown Trout,11.9
2018,Chenango,Genegantslet Creek,Smithville,April,30,Brown Trout,11.9
2018,Chenango,Guilford Lake,Guilford,April,200,Brown Trout,12.4
2018,Chenango,Guilford Lake,Guilford,April,1570,Rainbow Trout,9
2018,Chenango,Jeffrey Pond,N Norwich,April,1100,Brook Trout,8.3
2018,Chenango,Long Pond,Smithville,September,500,Tiger Muskellunge,9.5
2018,Chenango,Mill Brook,Oxford,October,800,Brown Trout,6.3
2018,Chenango,Mill Brook Reservoir,New Berlin,April,150,Brown Trout,12.4
2018,Chenango,Mill Brook Reservoir,New Berlin,April,1740,Rainbow Trout,8.3
2018,Chenango,Otselic River,Pitcher,April,7050,Brown Trout,7.9
2018,Chenango,Otselic River,Pitcher,April,1130,Brown Trout,11.9
2018,Chenango,Otselic River,Pitcher,May,2440,Brown Trout,8
2018,Chenango,Pharsalia Y Pond,Pharsalia,May,100,Brook Trout,8.3
2018,Chenango,South Otselic Hatchery,South Otselic,May,330000,Walleye,0.3
2018,Clinton,Altona School Pond,Altona,April,100,Brook Trout,8.1
2018,Clinton,Altona School Pond,Altona,April,90,Rainbow Trout,8.9
2018,Clinton,Black Brook,"Black Brook, Wilmington, Jay",May,450,Brook Trout,8.2
2018,Clinton,Chazy Lake,Dannemora,May,1500,Lake Trout,6.9
2018,Clinton,Chazy Lake,Dannemora,May,6700,Rainbow Trout,8.9
2018,Clinton,Crystal Creek,"Clinton, Moores",April,300,Brown Trout,8.4
2018,Clinton,Dry Mill Brook,Peru and Ausable,April,650,Brown Trout,8.4
2018,Clinton,Great Chazy River,Champlain,October,1150,Muskellunge,8.4
2018,Clinton,Lake Champlain,Plattsburgh,April,13050,Brown Trout,9.1
2018,Clinton,Little Chazy River,Chazy,April,480,Brown Trout,8.4
2018,Clinton,Military Pond,Black Brook,May,570,Brown Trout,8
2018,Clinton,Mud Pond,Black Brook,September,960,Brook Trout,4
2018,Clinton,Mud Pond,Black Brook,May,130,Brown Trout,8
2018,Clinton,North Branch Great Chazy River,"Altona, E'burg, Moores",April,1960,Brown Trout,8.4
2018,Clinton,North Branch Great Chazy River,Mooers,April,1350,Brown Trout,8.4
2018,Clinton,North Branch Great Chazy River,Mooers,May,250,Brown Trout,13.1
2018,Clinton,North Branch Great Chazy River,"Altona, E'burg, Moores",May,230,Brown Trout,13.1
2018,Clinton,North Branch Great Chazy River,Mooers,April,2220,Rainbow Trout,8.7
2018,Clinton,North Branch Saranac River,Black Brook and Saranac,April,4600,Brook Trout,8.1
2018,Clinton,North Branch Saranac River,Black Brook and Saranac,May,740,Brown Trout,8.1
2018,Clinton,North Branch Saranac River,Black Brook and Saranac,May,250,Brown Trout,13.2
2018,Clinton,Peru F & G Club Pond,Peru,April,100,Brook Trout,8.1
2018,Clinton,Riley Brook,Schuyler F.,April,170,Brown Trout,8.4
2018,Clinton,round pond,Altona,April,150,Brook Trout,8.1
2018,Clinton,Salmon River,Peru,April,390,Brown Trout,8.4
2018,Clinton,Salmon River,Peru,May,100,Brown Trout,13.2
2018,Clinton,Saranac River,Black Brook,May,3350,Brown Trout,8.7
2018,Clinton,Saranac River,Saranac,May,2350,Brown Trout,8.7
2018,Clinton,Saranac River,Plattsburgh,May,1780,Brown Trout,8.7
2018,Clinton,Saranac River,Saranac,May,260,Brown Trout,13.2
2018,Clinton,Saranac River,Black Brook,May,810,Brown Trout,13.2
2018,Clinton,Saranac River,Plattsburgh,March,45000,Landlocked Salmon,6.9
2018,Clinton,Saranac River,Plattsburgh,May,37500,Landlocked Salmon,1
2018,Clinton,Saranac River,Black Brook,May,3310,Rainbow Trout,9.2
2018,Clinton,Scribner Pond,Plattsburgh,May,90,Rainbow Trout,9.2
2018,Clinton,Taylor Pond,Black Brook,May,600,Landlocked Salmon,7.2
2018,Clinton,Taylor Pond,,November,180,Landlocked Salmon,17
2018,Clinton,True Brook,Saranac,April,1150,Brook Trout,8.1
2018,Clinton,Upper Chateaugay Lake,Dannemora,May,5000,Lake Trout,6.9
2018,Columbia,Claverack Creek,Claverack,April,2180,Brown Trout,7.9
2018,Columbia,Claverack Creek,Claverack,April,300,Brown Trout,7.9
2018,Columbia,Claverack Creek,Claverack,April,200,Brown Trout,12.8
2018,Columbia,Kinderhook Creek,New Lebanon,April,1910,Brown Trout,7.8
2018,Columbia,Kinderhook Creek,Kinderhook,April,350,Brown Trout,7.8
2018,Columbia,Kinderhook Creek,Chatham,April,2180,Brown Trout,7.8
2018,Columbia,Kinderhook Creek,New Lebanon,May,1040,Brown Trout,8.1
2018,Columbia,Kinderhook Creek,Chatham,May,1220,Brown Trout,8.1
2018,Columbia,Kinderhook Creek,Kinderhook,May,350,Brown Trout,8.1
2018,Columbia,Kinderhook Creek,Chatham,May,400,Brown Trout,13.3
2018,Columbia,Kinderhook Creek,New Lebanon,May,400,Brown Trout,13.3
2018,Columbia,Kline Kill,"Ghent, Kinderhook, Chatham",April,1390,Brown Trout,7.8
2018,Columbia,Lake Taghkanic,Gallatin,June,3360,Walleye,1.7
2018,Columbia,Lake Taghkanic,Gallatin,June,3360,Walleye,1.7
2018,Columbia,Ore Pit Pond,Copake,May,260,Rainbow Trout,9
2018,Columbia,Queechy Lake,Canaan,May,1570,Brown Trout,8.9
2018,Columbia,Queechy Lake,Canaan,April,1570,Rainbow Trout,9.4
2018,Columbia,Roeliff Jansen Kill,Gallatin,April,2440,Brown Trout,7.9
